,_c0,adversaire,avg_score_france,avg_score_adversaire,count_nb_match,max_france_penality,penalityfrance_moins_penalityadversaire,match,competition,adversaire,score_france,score_adversaire,penalty_france,penalty_adversaire,date,isDomicile
96,26,Pologne,1.1111111111111112,1.0,9,0,0.0,France - Pologne,Match amical,Pologne,0,0,0,0,1990-08-15,True
97,8,Islande,2.375,1.125,8,0,0.0,Islande - France,Qualifications pour l'Euro 1992,Islande,2,1,0,0,1990-09-05,True
98,38,Tchécoslovaquie,1.5,1.0,4,0,0.0,France - Tchécoslovaquie,Qualifications pour l'Euro 1992,Tchécoslovaquie,2,1,0,0,1990-10-13,True
99,21,Albanie,2.0,0.42857142857142855,7,0,0.0,Albanie - France,Qualifications pour l'Euro 1992,Albanie,1,0,0,0,1990-11-17,True
100,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,France - Espagne,Qualifications pour l'Euro 1992,Espagne,3,1,0,0,1991-02-20,True
101,21,Albanie,2.0,0.42857142857142855,7,0,0.0,France - Albanie,Qualifications pour l'Euro 1992,Albanie,5,0,0,0,1991-03-30,True
102,26,Pologne,1.1111111111111112,1.0,9,0,0.0,Pologne - France,Match amical,Pologne,5,1,0,0,1991-08-14,True
103,38,Tchécoslovaquie,1.5,1.0,4,0,0.0,Tchécoslovaquie - France,Qualifications pour l'Euro 1992,Tchécoslovaquie,2,1,0,0,1991-09-04,True
104,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,Espagne - France,Qualifications pour l'Euro 1992,Espagne,2,1,0,0,1991-10-12,True
105,8,Islande,2.375,1.125,8,0,0.0,France - Islande,Qualifications pour l'Euro 1992,Islande,3,1,0,0,1991-11-20,True
106,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,Angleterre - France,Match amical,Angleterre,0,2,0,0,1992-02-19,True
107,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,France - Belgique,Match amical,Belgique,3,3,0,0,1992-03-25,True
108,24,Suisse,1.4,0.9,10,0,0.0,Suisse - France,Match amical,Suisse,1,2,0,0,1992-05-27,True
109,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,France - Pays-Bas,Match amical,Pays-Bas,1,1,0,0,1992-06-05,True
110,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,Suède - France,Euro 1992 (Groupe A),Suède,1,1,0,0,1992-06-10,True
111,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,Angleterre - France,Euro 1992 (Groupe A),Angleterre,0,0,0,0,1992-06-14,True
112,74,Danemark,1.25,0.8333333333333334,12,0,0.0,Danemark - France,Euro 1992 (Groupe A),Danemark,1,2,0,0,1992-06-17,True
113,39,Brésil,1.0,1.2727272727272727,11,4,1.0,France - Brésil,Match amical,Brésil,0,2,0,0,1992-08-26,True
114,11,Bulgarie,1.25,1.0,8,0,0.0,Bulgarie - France,Qualifications pour la Coupe du monde 1994,Bulgarie,0,2,0,0,1992-09-09,True
115,6,Autriche,1.5,0.75,8,0,0.0,France - Autriche,Qualifications pour la Coupe du monde 1994,Autriche,2,0,0,0,1992-10-14,True
116,10,Finlande,1.8333333333333333,0.16666666666666666,6,0,0.0,France - Finlande,Qualifications pour la Coupe du monde 1994,Finlande,2,1,0,0,1992-11-14,True
117,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,Israël - France,Qualifications pour la Coupe du monde 1994,Israël,4,0,0,0,1993-02-17,True
118,6,Autriche,1.5,0.75,8,0,0.0,Autriche - France,Qualifications pour la Coupe du monde 1994,Autriche,1,0,0,0,1993-03-27,True
119,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,France - Suède,Qualifications pour la Coupe du monde 1994,Suède,2,1,0,0,1993-04-28,True
120,20,Colombie,1.25,1.5,4,0,0.0,France - Colombie,Match amical (Inauguration du Stade de Dillon),Colombie,1,3,0,0,1993-06-16,True
121,12,Russie,2.142857142857143,1.4285714285714286,7,0,0.0,France - Russie,Match amical,Russie,3,1,0,0,1993-07-28,True
122,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,Suède - France,Qualifications pour la Coupe du monde 1994,Suède,1,1,0,0,1993-08-22,True
123,10,Finlande,1.8333333333333333,0.16666666666666666,6,0,0.0,Finlande - France,Qualifications pour la Coupe du monde 1994,Finlande,2,0,0,0,1993-09-08,True
124,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,France - Israël,Qualifications pour la Coupe du monde 1994,Israël,2,3,0,0,1993-10-13,True
125,11,Bulgarie,1.25,1.0,8,0,0.0,France - Bulgarie,Qualifications pour la Coupe du monde 1994,Bulgarie,1,2,0,0,1993-11-17,True
126,41,Italie,1.75,0.8333333333333334,12,3,-2.0,Italie - France,Match amical,Italie,1,0,0,0,1994-02-16,True
127,46,Chili,1.6666666666666667,1.3333333333333333,3,0,0.0,France - Chili,Match amical,Chili,3,1,0,0,1994-03-22,True
128,45,Australie,2.5,0.5,4,0,0.0,France - Australie,Coupe Kirin 1994 (Amical),Australie,1,0,0,0,1994-05-26,True
129,50,Japon,2.3333333333333335,0.8333333333333334,6,4,2.0,Japon - France,Coupe Kirin 1994 (Amical),Japon,4,1,0,0,1994-05-29,True
130,85,Rép. tchèque,1.0,1.25,4,5,-1.0,France - Rép. tchèque,Match amical,Rép. tchèque,2,2,0,0,1994-08-17,True
131,52,Slovaquie,1.5,0.5,4,0,0.0,Slovaquie - France,Qualifications pour l'Euro 1996,Slovaquie,0,0,0,0,1994-09-07,True
132,14,Roumanie,1.3,0.6,10,0,0.0,France - Roumanie,Qualifications pour l'Euro 1996,Roumanie,0,0,0,0,1994-10-08,True
133,26,Pologne,1.1111111111111112,1.0,9,0,0.0,Pologne - France,Qualifications pour l'Euro 1996,Pologne,0,0,0,0,1994-11-06,True
134,83,Azerbaïdjan,6.0,5.0,2,0,0.0,Azerbaïdjan - France,Qualifications pour l'Euro 1996,Azerbaïdjan,2,0,0,0,1994-12-13,True
135,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,Pays-Bas - France,Match amical,Pays-Bas,1,0,0,0,1995-01-10,False
136,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,Israël - France,Qualifications pour l'Euro 1996,Israël,0,0,0,0,1995-03-29,True
137,52,Slovaquie,1.5,0.5,4,0,0.0,France- Slovaquie,Qualifications pour l'Euro 1996,Slovaquie,4,0,0,0,1995-04-26,True
138,81,Norvège,1.375,1.125,8,0,0.0,Norvège - France,Match amical,Norvège,0,0,0,0,1995-07-22,True
139,26,Pologne,1.1111111111111112,1.0,9,0,0.0,France - Pologne,Qualifications pour l'Euro 1996,Pologne,1,1,0,0,1995-08-16,True
140,83,Azerbaïdjan,6.0,5.0,2,0,0.0,France - Azerbaïdjan,Qualifications pour l'Euro 1996,Azerbaïdjan,10,10,0,0,1995-09-06,True
141,14,Roumanie,1.3,0.6,10,0,0.0,Roumanie - France,Qualifications pour l'Euro 1996,Roumanie,3,1,0,0,1995-10-11,True
142,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,France - Israël,Qualifications pour l'Euro 1996,Israël,2,0,0,0,1995-11-15,True
143,79,Portugal,2.1,0.7,10,0,0.0,France - Portugal,Match amical,Portugal,3,2,0,0,1996-01-24,True
144,16,Grèce,2.25,0.75,4,0,0.0,France - Grèce,Match amical,Grèce,3,1,0,0,1996-02-21,True
145,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,Belgique - France,Match amical,Belgique,2,0,0,0,1996-03-27,True
146,10,Finlande,1.8333333333333333,0.16666666666666666,6,0,0.0,France - Finlande,Match amical,Finlande,2,0,0,0,1996-05-29,True
147,25,Allemagne,1.4,0.6,10,0,0.0,Allemagne - France,Match amical,Allemagne,1,0,0,0,1996-06-01,True
148,32,Arménie,2.8,0.4,5,0,0.0,France - Arménie,Match amical,Arménie,2,0,0,0,1996-06-05,True
149,14,Roumanie,1.3,0.6,10,0,0.0,France - Roumanie,Euro 1996 (Groupe B),Roumanie,1,0,0,0,1996-06-10,True
150,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,Espagne - France,Euro 1996 (Groupe B),Espagne,1,1,0,0,1996-06-15,True
151,11,Bulgarie,1.25,1.0,8,0,0.0,France - Bulgarie,Euro 1996 (Groupe B),Bulgarie,3,1,0,0,1996-06-18,True
152,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,France - Pays-Bas,Euro 1996 (Quart de finale),Pays-Bas,0,0,5,4,1996-06-22,True
153,85,Rép. tchèque,1.0,1.25,4,5,-1.0,Rép. tchèque - France,Euro 1996 (Demi-finale),Rép. tchèque,0,0,5,6,1996-06-26,False
154,56,Mexique,1.75,0.5,4,0,0.0,France - Mexique,Match amical,Mexique,2,0,0,0,1996-08-31,True
155,69,Turquie,3.0,0.5,4,0,0.0,France - Turquie,Match amical,Turquie,4,0,0,0,1996-10-09,True
156,74,Danemark,1.25,0.8333333333333334,12,0,0.0,Danemark - France,Match amical,Danemark,0,1,0,0,1996-11-09,True
157,79,Portugal,2.1,0.7,10,0,0.0,Portugal - France,Match amical,Portugal,2,0,0,0,1997-01-22,True
158,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,France - Pays-Bas,Match amical,Pays-Bas,2,1,0,0,1997-02-26,True
159,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,France - Suède,Match amical,Suède,1,0,0,0,1997-04-02,True
160,39,Brésil,1.0,1.2727272727272727,11,4,1.0,France - Brésil,Tournoi de France 1997 (amical),Brésil,1,1,0,0,1997-06-03,True
161,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,France - Angleterre,Tournoi de France 1997 (amical),Angleterre,0,1,0,0,1997-06-07,True
162,41,Italie,1.75,0.8333333333333334,12,3,-2.0,France - Italie,Tournoi de France 1997 (amical),Italie,2,2,0,0,1997-06-11,True
163,67,Afrique du Sud,1.5,0.75,4,0,0.0,France - Afrique du Sud,Match amical,Afrique du Sud,2,1,0,0,1997-10-11,True
164,30,Écosse,1.8888888888888888,0.5555555555555556,9,0,0.0,France - Écosse,Match amical,Écosse,2,1,0,0,1997-11-12,True
165,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,France - Espagne,Match amical (Inauguration du Stade de France),Espagne,1,0,0,0,1998-01-28,True
166,81,Norvège,1.375,1.125,8,0,0.0,France - Norvège,Match amical,Norvège,3,3,0,0,1998-02-25,True
167,12,Russie,2.142857142857143,1.4285714285714286,7,0,0.0,Russie - France,Match amical,Russie,0,1,0,0,1998-03-25,True
168,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,Suède - France,Match amical,Suède,0,0,0,0,1998-04-22,True
169,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,France - Belgique,Tournoi Hassan II 1998 (amical),Belgique,1,0,0,0,1998-05-27,True
170,58,Maroc,2.4,1.2,5,5,-1.0,Maroc - France,Tournoi Hassan II 1998 (amical),Maroc,2,2,5,6,1998-05-29,True
171,10,Finlande,1.8333333333333333,0.16666666666666666,6,0,0.0,Finlande - France,Match amical,Finlande,1,0,0,0,1998-06-05,True
172,67,Afrique du Sud,1.5,0.75,4,0,0.0,France - Afrique du Sud,Coupe du monde 1998 (Groupe C),Afrique du Sud,3,0,0,0,1998-06-12,True
173,76,Arabie saoudite,4.0,0.0,1,0,0.0,France - Arabie saoudite,Coupe du monde 1998 (Groupe C),Arabie saoudite,4,0,0,0,1998-06-18,True
174,74,Danemark,1.25,0.8333333333333334,12,0,0.0,France - Danemark,Coupe du monde 1998 (Groupe C),Danemark,2,1,0,0,1998-06-24,True
175,2,Paraguay,1.75,0.25,4,0,0.0,France - Paraguay,Coupe du monde 1998 (Huitième de finale),Paraguay,1,0,0,0,1998-06-28,True
176,43,France – Italie,0.0,0.0,1,4,1.0,France – Italie,Coupe du monde 1998 (Quart de finale),France – Italie,0,0,4,3,1998-07-03,True
177,22,Croatie,1.8,0.6,5,0,0.0,France - Croatie,Coupe du monde 1998 (Demi-finale),Croatie,2,1,0,0,1998-07-08,True
178,39,Brésil,1.0,1.2727272727272727,11,4,1.0,Brésil - France,Coupe du monde 1998 (Finale),Brésil,3,0,0,0,1998-07-12,True
179,6,Autriche,1.5,0.75,8,0,0.0,Autriche - France,Match amical,Autriche,2,2,0,0,1998-08-19,True
180,8,Islande,2.375,1.125,8,0,0.0,Islande - France,Qualifications pour l'Euro 2000,Islande,1,1,0,0,1998-09-05,True
181,12,Russie,2.142857142857143,1.4285714285714286,7,0,0.0,Russie - France,Qualifications pour l'Euro 2000,Russie,3,2,0,0,1998-10-10,True
182,0,Andorre,2.3333333333333335,0.0,3,0,0.0,France - Andorre,Qualifications pour l'Euro 2000,Andorre,2,0,0,0,1998-10-14,True
183,58,Maroc,2.4,1.2,5,5,-1.0,France - Maroc,Match amical,Maroc,1,0,0,0,1999-01-20,True
184,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,Angleterre - France,Match amical,Angleterre,2,0,0,0,1999-02-10,True
185,44,Ukraine,1.5555555555555556,0.5555555555555556,9,0,0.0,France - Ukraine,Qualifications pour l'Euro 2000,Ukraine,0,0,0,0,1999-03-27,True
186,32,Arménie,2.8,0.4,5,0,0.0,France - Arménie,Qualifications pour l'Euro 2000,Arménie,2,0,0,0,1999-03-31,True
